my_char,enemy_char,my_hp,enemy_hp,my_cd,enemy_cd,my_ability3,enemy_ability3,action,win
0,1,21,13,1,1,1,1,1,1
0,1,20,12,1,0,1,1,2,1
0,1,16,12,1,1,1,1,1,1
0,1,13,9,1,1,1,0,1,1
0,1,17,7,1,0,0,0,3,1
0,1,15,6,1,1,0,0,1,1
0,1,14,3,1,0,0,0,2,1
0,1,12,3,1,1,0,0,1,1
0,1,21,13,1,1,1,1,1,1
0,1,25,10,1,0,0,1,3,1
0,1,21,9,1,1,0,1,1,1
0,1,19,5,1,1,0,0,1,1
0,1,18,4,1,0,0,0,2,1
0,1,15,4,1,1,0,0,1,1
0,1,23,13,1,1,1,1,1,1
0,1,21,11,1,1,1,0,1,1
0,1,20,8,1,0,1,0,2,1
0,1,17,8,1,1,1,0,1,1
0,1,21,4,1,0,0,0,3,1
0,1,18,3,1,1,0,0,1,1
0,1,21,13,1,1,1,1,1,1
0,1,19,10,1,1,1,0,1,1
0,1,23,8,1,0,0,0,3,1
0,1,20,7,1,1,0,0,1,1
0,1,19,4,1,0,0,0,2,1
0,1,15,4,1,1,0,0,1,1
0,1,22,13,1,1,1,1,1,1
0,1,18,11,1,1,1,0,1,1
0,1,22,9,1,0,0,0,3,1
0,1,19,8,1,1,0,0,1,1
0,1,18,5,1,0,0,0,2,1
0,1,15,5,1,1,0,0,1,1
0,1,14,2,1,0,0,0,2,1
0,1,10,2,1,1,0,0,1,1
0,1,21,13,1,1,1,1,1,1
0,1,17,9,1,1,1,0,1,1
0,1,16,6,1,0,1,0,2,1
0,1,14,6,1,1,1,0,1,1
0,1,18,3,1,0,0,0,3,1
0,1,14,2,1,1,0,0,1,1
0,1,22,13,1,1,1,1,1,1
0,1,25,11,1,0,0,1,3,1
0,1,22,10,1,1,0,1,1,1
0,1,21,7,1,0,0,1,2,1
0,1,17,7,1,1,0,1,1,1
0,1,15,4,1,1,0,0,1,1
0,1,23,13,1,1,1,1,1,1
0,1,25,12,1,0,0,1,3,1
0,1,22,11,1,1,0,1,1,1
0,1,21,9,1,0,0,1,2,1
0,1,17,9,1,1,0,1,1,1
0,1,13,4,1,1,0,0,1,1
0,1,21,13,1,1,1,1,1,1
0,1,18,11,1,1,1,0,1,1
0,1,22,9,1,0,0,0,3,1
0,1,19,8,1,1,0,0,1,1
0,1,18,6,1,0,0,0,2,1
0,1,14,6,1,1,0,0,1,1
0,1,13,2,1,0,0,0,2,1
0,1,10,2,1,1,0,0,1,1
0,1,21,13,1,1,1,1,1,1
0,1,18,9,1,1,1,0,1,1
0,1,17,8,1,0,1,0,2,1
0,1,13,8,1,1,1,0,1,1
0,1,17,6,1,0,0,0,3,1
0,1,13,5,1,1,0,0,1,1
0,1,12,2,1,0,0,0,2,1
0,1,8,2,1,1,0,0,1,1
0,1,23,13,1,1,1,1,1,1
0,1,22,12,1,0,1,1,2,1
0,1,20,12,1,1,1,1,1,1
0,1,18,7,1,1,1,0,1,1
0,1,22,4,1,0,0,0,3,1
0,1,18,3,1,1,0,0,1,1
0,1,17,2,1,0,0,0,2,1
0,1,15,2,1,1,0,0,1,1
0,1,21,13,1,1,1,1,1,1
0,1,25,10,1,0,0,1,3,1
0,1,21,9,1,1,0,1,1,1
0,1,20,8,1,0,0,1,2,1
0,1,18,8,1,1,0,1,1,1
0,1,14,4,1,1,0,0,1,1
0,1,21,13,1,1,1,1,1,1
0,1,20,10,1,0,1,1,2,1
0,1,18,10,1,1,1,1,1,1
0,1,22,6,1,0,0,1,3,1
0,1,19,5,1,1,0,1,1,1
0,1,17,1,1,1,0,0,1,1
0,1,23,13,1,1,1,1,1,1
0,1,20,10,1,1,1,0,1,1
0,1,24,9,1,0,0,0,3,1
0,1,21,8,1,1,0,0,1,1
0,1,20,7,1,0,0,0,2,1
0,1,17,7,1,1,0,0,1,1
0,1,16,3,1,0,0,0,2,1
0,1,13,3,1,1,0,0,1,1
0,1,22,13,1,1,1,1,1,1
0,1,20,10,1,1,1,0,1,1
0,1,19,8,1,0,1,0,2,1
0,1,17,8,1,1,1,0,1,1
0,1,21,6,1,0,0,0,3,1
0,1,18,5,1,1,0,0,1,1
0,1,17,3,1,0,0,0,2,1
0,1,13,3,1,1,0,0,1,1
0,1,21,13,1,1,1,1,1,1
0,1,20,10,1,0,1,1,2,1
0,1,17,10,1,1,1,1,1,1
0,1,14,6,1,1,1,0,1,1
0,1,13,5,1,0,1,0,2,1
0,1,11,5,1,1,1,0,1,1
0,1,23,13,1,1,1,1,1,1
0,1,21,10,1,1,1,0,1,1
0,1,25,9,1,0,0,0,3,1
0,1,23,8,1,1,0,0,1,1
0,1,22,7,1,0,0,0,2,1
0,1,18,7,1,1,0,0,1,1
0,1,17,4,1,0,0,0,2,1
0,1,14,4,1,1,0,0,1,1
0,1,13,2,1,0,0,0,2,1
0,1,9,2,1,1,0,0,1,1
0,1,22,13,1,1,1,1,1,1
0,1,20,9,1,1,1,0,1,1
0,1,24,8,1,0,0,0,3,1
0,1,22,7,1,1,0,0,1,1
0,1,21,4,1,0,0,0,2,1
0,1,18,4,1,1,0,0,1,1
0,1,23,13,1,1,1,1,1,1
0,1,22,12,1,0,1,1,2,1
0,1,18,12,1,1,1,1,1,1
0,1,17,10,1,0,1,1,2,1
